Year,Sex,Age,Nacionalidad,Disability,Province,County,Municipality,Units,GeoCode,Value
2021,,,,,,,,%,,10.0
2014,,,,,,,,%,,16.1
2016,,,,,,,,%,,13.8
2010,,,,,,,,%,,9.1
2019,,,,,,,,%,,9.8
2013,,,,,,,,%,,15.1
2022,,,,,,,,%,,8.6
2024,,,,,,,,%,,7.4
2015,,,,,,,,%,,15.7
2011,,,,,,,,%,,10.8
2017,,,,,,,,%,,11.6
2020,,,,,,,,%,,10.6
2023,,,,,,,,%,,7.8
2012,,,,,,,,%,,11.8
2018,,,,,,,,%,,10.5
2020,,,,,,,Abadiño,%,Abadiño,8.7
2010,,,,,,,Abadiño,%,Abadiño,9.2
2015,,,,,,,Abadiño,%,Abadiño,13.9
2022,,,,,,,Abadiño,%,Abadiño,8.5
2019,,,,,,,Abadiño,%,Abadiño,9.1
2016,,,,,,,Abadiño,%,Abadiño,12.0
2021,,,,,,,Abadiño,%,Abadiño,10.7
2018,,,,,,,Abadiño,%,Abadiño,9.7
2023,,,,,,,Abadiño,%,Abadiño,7.8
2020,,,,,,,Abaltzisketa,%,Abaltzisketa,2.9
2019,,,,,,,Abaltzisketa,%,Abaltzisketa,5.0
2023,,,,,,,Abaltzisketa,%,Abaltzisketa,5.2
2021,,,,,,,Abaltzisketa,%,Abaltzisketa,3.0
2016,,,,,,,Abaltzisketa,%,Abaltzisketa,7.5
2010,,,,,,,Abaltzisketa,%,Abaltzisketa,7.1
2015,,,,,,,Abaltzisketa,%,Abaltzisketa,6.6
2018,,,,,,,Abaltzisketa,%,Abaltzisketa,10.1
2022,,,,,,,Abaltzisketa,%,Abaltzisketa,3.0
2019,,,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,12.5
2016,,,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,18.7
2021,,,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,14.3
2010,,,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,9.8
2020,,,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,13.0
2015,,,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,17.8
2023,,,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,9.8
2018,,,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,14.1
2022,,,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,12.3
2019,,,,,,,Aduna,%,Aduna,2.8
2023,,,,,,,Aduna,%,Aduna,1.8
2018,,,,,,,Aduna,%,Aduna,4.0
2022,,,,,,,Aduna,%,Aduna,2.0
2021,,,,,,,Aduna,%,Aduna,1.2
2010,,,,,,,Aduna,%,Aduna,5.4
2016,,,,,,,Aduna,%,Aduna,8.5
2015,,,,,,,Aduna,%,Aduna,11.4
2020,,,,,,,Aduna,%,Aduna,3.6
2016,,,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,16.6
2022,,,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,11.4
2021,,,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,14.9
2015,,,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,18.6
2018,,,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,14.5
2020,,,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,14.7
2010,,,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,10.4
2023,,,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,10.3
2019,,,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,13.1
2021,,,,,,,Aia,%,Aia,6.5
2015,,,,,,,Aia,%,Aia,11.2
2020,,,,,,,Aia,%,Aia,5.8
2010,,,,,,,Aia,%,Aia,8.0
2022,,,,,,,Aia,%,Aia,5.2
2018,,,,,,,Aia,%,Aia,8.3
2019,,,,,,,Aia,%,Aia,6.5
2016,,,,,,,Aia,%,Aia,10.2
2023,,,,,,,Aia,%,Aia,4.9
2022,,,,,,,Aizarnazabal,%,Aizarnazabal,9.2
2021,,,,,,,Aizarnazabal,%,Aizarnazabal,11.6
2023,,,,,,,Aizarnazabal,%,Aizarnazabal,7.3
2016,,,,,,,Aizarnazabal,%,Aizarnazabal,15.1
2010,,,,,,,Aizarnazabal,%,Aizarnazabal,11.0
2018,,,,,,,Aizarnazabal,%,Aizarnazabal,12.2
2019,,,,,,,Aizarnazabal,%,Aizarnazabal,11.7
2020,,,,,,,Aizarnazabal,%,Aizarnazabal,9.7
2015,,,,,,,Aizarnazabal,%,Aizarnazabal,17.0
2019,,,,,,,Ajangiz,%,Ajangiz,4.2
2023,,,,,,,Ajangiz,%,Ajangiz,4.3
2022,,,,,,,Ajangiz,%,Ajangiz,6.1
2010,,,,,,,Ajangiz,%,Ajangiz,7.8
2018,,,,,,,Ajangiz,%,Ajangiz,6.0
2015,,,,,,,Ajangiz,%,Ajangiz,8.1
2020,,,,,,,Ajangiz,%,Ajangiz,7.3
2021,,,,,,,Ajangiz,%,Ajangiz,6.3
2016,,,,,,,Ajangiz,%,Ajangiz,5.4
2019,,,,,,,Albiztur,%,Albiztur,2.1
2022,,,,,,,Albiztur,%,Albiztur,2.1
2021,,,,,,,Albiztur,%,Albiztur,5.0
2015,,,,,,,Albiztur,%,Albiztur,3.3
2023,,,,,,,Albiztur,%,Albiztur,1.3
2020,,,,,,,Albiztur,%,Albiztur,3.4
2010,,,,,,,Albiztur,%,Albiztur,5.3
2018,,,,,,,Albiztur,%,Albiztur,3.5
2016,,,,,,,Albiztur,%,Albiztur,4.8
2010,,,,,,,Alegia,%,Alegia,8.1
2019,,,,,,,Alegia,%,Alegia,9.2
2015,,,,,,,Alegia,%,Alegia,14.5
2021,,,,,,,Alegia,%,Alegia,10.9
