Year,Series,Sexua,Desgaitasuna,Units,Value
2022,Orduko batez besteko diru-sarrera,,,Euroak,20.8
2017,Orduko batez besteko diru-sarrera,,,Euroak,18.5
2012,Orduko batez besteko diru-sarrera,,,Euroak,17.4
2010,Orduko batez besteko diru-sarrera,,,Euroak,17.4
2013,Orduko batez besteko diru-sarrera,,,Euroak,17.5
2020,Orduko batez besteko diru-sarrera,,,Euroak,19.9
2021,Orduko batez besteko diru-sarrera,,,Euroak,20.4
2019,Orduko batez besteko diru-sarrera,,,Euroak,19.5
2014,Orduko batez besteko diru-sarrera,,,Euroak,18.3
2023,Orduko batez besteko diru-sarrera,,,Euroak,22.0
2016,Orduko batez besteko diru-sarrera,,,Euroak,18.2
2018,Orduko batez besteko diru-sarrera,,,Euroak,18.9
2015,Orduko batez besteko diru-sarrera,,,Euroak,18.4
2011,Orduko batez besteko diru-sarrera,,,Euroak,17.2
2015,Orduko batez besteko diru-sarrera,,Desgaitasunik gabeko pertsona,Euroak,18.5
2018,Orduko batez besteko diru-sarrera,,Desgaitasunik gabeko pertsona,Euroak,19.0
2010,Orduko batez besteko diru-sarrera,,Desgaitasunik gabeko pertsona,Euroak,17.5
2016,Orduko batez besteko diru-sarrera,,Desgaitasunik gabeko pertsona,Euroak,18.3
2014,Orduko batez besteko diru-sarrera,,Desgaitasunik gabeko pertsona,Euroak,18.5
2017,Orduko batez besteko diru-sarrera,,Desgaitasunik gabeko pertsona,Euroak,18.6
2012,Orduko batez besteko diru-sarrera,,Desgaitasunik gabeko pertsona,Euroak,17.5
2011,Orduko batez besteko diru-sarrera,,Desgaitasunik gabeko pertsona,Euroak,17.2
2013,Orduko batez besteko diru-sarrera,,Desgaitasunik gabeko pertsona,Euroak,17.7
2010,Orduko batez besteko diru-sarrera,,Desgaitasuna duen pertsona,Euroak,14.9
2013,Orduko batez besteko diru-sarrera,,Desgaitasuna duen pertsona,Euroak,13.4
2014,Orduko batez besteko diru-sarrera,,Desgaitasuna duen pertsona,Euroak,13.7
2017,Orduko batez besteko diru-sarrera,,Desgaitasuna duen pertsona,Euroak,13.7
2011,Orduko batez besteko diru-sarrera,,Desgaitasuna duen pertsona,Euroak,14.4
2016,Orduko batez besteko diru-sarrera,,Desgaitasuna duen pertsona,Euroak,13.3
2018,Orduko batez besteko diru-sarrera,,Desgaitasuna duen pertsona,Euroak,15.4
2012,Orduko batez besteko diru-sarrera,,Desgaitasuna duen pertsona,Euroak,14.6
2015,Orduko batez besteko diru-sarrera,,Desgaitasuna duen pertsona,Euroak,14.1
2022,Orduko batez besteko diru-sarrera,Emakumea,,Euroak,19.8
2023,Orduko batez besteko diru-sarrera,Emakumea,,Euroak,21.6
2018,Orduko batez besteko diru-sarrera,Emakumea,,Euroak,17.6
2021,Orduko batez besteko diru-sarrera,Emakumea,,Euroak,19.6
2020,Orduko batez besteko diru-sarrera,Emakumea,,Euroak,19.0
2016,Orduko batez besteko diru-sarrera,Emakumea,,Euroak,16.6
2013,Orduko batez besteko diru-sarrera,Emakumea,,Euroak,15.4
2017,Orduko batez besteko diru-sarrera,Emakumea,,Euroak,17.0
2011,Orduko batez besteko diru-sarrera,Emakumea,,Euroak,15.2
2015,Orduko batez besteko diru-sarrera,Emakumea,,Euroak,17.0
2010,Orduko batez besteko diru-sarrera,Emakumea,,Euroak,15.7
2019,Orduko batez besteko diru-sarrera,Emakumea,,Euroak,18.5
2012,Orduko batez besteko diru-sarrera,Emakumea,,Euroak,15.3
2014,Orduko batez besteko diru-sarrera,Emakumea,,Euroak,16.7
2023,Orduko batez besteko diru-sarrera,Gizona,,Euroak,22.4
2018,Orduko batez besteko diru-sarrera,Gizona,,Euroak,20.0
2016,Orduko batez besteko diru-sarrera,Gizona,,Euroak,19.4
2020,Orduko batez besteko diru-sarrera,Gizona,,Euroak,20.7
2013,Orduko batez besteko diru-sarrera,Gizona,,Euroak,19.1
2021,Orduko batez besteko diru-sarrera,Gizona,,Euroak,21.1
2010,Orduko batez besteko diru-sarrera,Gizona,,Euroak,18.6
2017,Orduko batez besteko diru-sarrera,Gizona,,Euroak,19.6
2012,Orduko batez besteko diru-sarrera,Gizona,,Euroak,19.1
2014,Orduko batez besteko diru-sarrera,Gizona,,Euroak,19.6
2011,Orduko batez besteko diru-sarrera,Gizona,,Euroak,18.6
2015,Orduko batez besteko diru-sarrera,Gizona,,Euroak,19.5
2019,Orduko batez besteko diru-sarrera,Gizona,,Euroak,20.4
2022,Orduko batez besteko diru-sarrera,Gizona,,Euroak,21.7
2018,Genero-arrakala soldatan,,,%,11.9
2013,Genero-arrakala soldatan,,,%,19.6
2020,Genero-arrakala soldatan,,,%,8.3
2022,Genero-arrakala soldatan,,,%,8.8
2021,Genero-arrakala soldatan,,,%,7.3
2019,Genero-arrakala soldatan,,,%,9.5
2015,Genero-arrakala soldatan,,,%,12.8
2012,Genero-arrakala soldatan,,,%,20.1
2023,Genero-arrakala soldatan,,,%,3.6
2016,Genero-arrakala soldatan,,,%,14.3
2010,Genero-arrakala soldatan,,,%,15.4
2011,Genero-arrakala soldatan,,,%,18.1
2017,Genero-arrakala soldatan,,,%,12.8
2014,Genero-arrakala soldatan,,,%,15.1
